,排  名,代號,名稱,成交,財報  季度,市值  (億),現金  (億),應收  帳款  (億),存貨  (億),速動  資產  (億),流動  資產  (億),投資  (億),固定  資產  (億),無形  資產  (億),其他  資產  (億),資產  總額  (億),流動  負債  (億),長期  負債  (億),其他  負債  (億),負債  總額  (億),股東  權益  (億),每股  淨值  (元),財報  評分
157,150,5306,桂盟,144.5,22Q3,182,31.5,14.7,12.7,50.4,66.3,1.32,36.3,15,0.72,129,32.4,15.8,0.48,53.4,75.9,60.25,81
158,151,3443,創意,1170,22Q4,1568,58.5,30,65.6,106,196,,6.46,5.41,1.53,212,126,,1.96,131,80.6,60.15,59
159,152,8255,朋程,165.5,22Q4,151,7.84,8.51,8,16.9,26.6,28.5,32.1,0.11,10.6,98.7,28.8,11.8,0,40.9,57.8,60.12,47
160,153,6472,保瑞,561,22Q4,430,32.8,63.7,19.5,99.4,122,0.82,66.5,21.5,1.61,228,105,49.7,4.75,176,51.4,60.06,55
161,154,6230,尼得科超眾,130.5,22Q3,113,23.1,37.2,21,60.2,83.5,0.89,25.5,0.32,0.46,114,46.6,7.62,0.45,62.5,51.8,60.02,40
162,155,5904,寶雅,586,22Q4,599,25.9,12.5,49.8,38.4,88.8,,33.4,,4.73,244,73.3,9.13,0.2,183,60.7,59.41,57
163,156,1726,永記,72.1,22Q4,117,15,26.9,25.7,46.7,73.3,3.17,33.2,0.05,0.49,114,16.5,,0.19,18.4,95.7,59.09,51
164,157,3680,家登,349,22Q3,295,19.3,8.65,15.1,30.2,46.3,25.9,32.2,1.69,4.69,112,22.1,36.1,0.36,59.2,52.9,59.04,66
165,158,2612,中航,40.95,22Q4,80.9,39.9,2.95,0.22,46,49.7,13.6,139,0.05,0.63,205,32.9,47.6,0.12,88,117,58.95,60
166,159,5203,訊連,96.5,22Q4,76,17.4,1.26,0.06,20.3,20.6,32.5,4.37,0.02,0.07,58.2,7.07,,0.63,11.7,46.5,58.9,60
167,160,4137,麗豐-KY,207.5,22Q4,165,56.4,0.8,4.86,57.2,62.8,5.03,12.3,0.93,0.42,86,19.2,17.2,0.03,39.4,46.5,58.88,66
168,161,4942,嘉彰,37.75,22Q4,53.7,20.8,26.6,3.97,47.4,75.8,3.7,15,,11.4,108,22.1,0.04,0.01,24.1,83.5,58.64,53
169,162,6643,M31,628,22Q4,199,5.47,3.29,,14.4,16.6,1.19,5.71,0.11,0,23.7,5.05,0,,5.1,18.6,58.62,82
171,163,2408,南亞科,59.2,22Q4,1833,736,66.9,234,803,1055,61.3,849,7.67,0.72,2022,162,,8.94,213,1810,58.41,72
172,164,5371,中光電,65.1,22Q4,255,124,116,104,289,403,40.9,80.9,3.59,4.32,559,259,34.1,0.94,308,251,58.13,43
173,165,3037,欣興,135.5,22Q4,2065,615,305,128,920,1076,122,941,6.44,2.15,2187,549,669,33,1260,927,57.99,74
174,166,1788,杏昌,143.5,22Q3,63.9,2.13,12.7,7.89,15.4,24.4,1.37,10.6,1.82,1.48,45,16.4,0.15,0.19,21.6,23.5,57.94,45
175,167,6579,研揚,92.6,22Q4,138,22.3,11.8,20.9,37.2,59.2,44.5,8.06,0.13,0.2,114,16.6,2.18,0.08,20.4,93.6,57.92,64
176,168,6706,惠特,92,22Q3,67.7,22.1,12.1,16.8,37.4,54.5,1.36,15,0.06,0.28,73.1,20.2,9.15,0.01,30.6,42.5,57.86,68
177,169,8422,可寧衛,186.5,22Q4,203,33.9,5.23,0.56,47.1,49.2,11,59.4,,1.79,126,15.7,37.9,0.08,59.7,66,57.73,79
178,170,5283,禾聯碩,106.5,22Q4,77.7,12.9,10.6,15.4,23.6,40.7,2.85,13.7,0.15,1.12,59.4,16.5,,0.17,17.3,42.1,57.62,64
179,171,5522,遠雄,58.2,22Q4,455,104,4.79,650,113,845,93.8,1.27,2.1,3.99,956,490,4.6,3.79,508,448,57.33,57
180,172,2377,微星,140.5,22Q4,1187,275,193,293,471,786,8.23,55.2,,1.34,869,376,,4.42,385,484,57.29,49
181,173,3211,順達,81.3,22Q4,122,30.6,50.5,24.1,95.3,121,30.8,14.8,0.12,2.04,174,55.5,10.8,7.92,87.9,85.6,57.03,38
182,174,1595,川寶,39.65,22Q3,18.7,14.2,6.45,15,22.9,39.7,0.64,7.49,3.53,0.21,51.7,22.5,2.39,0.01,25,26.7,56.81,53
183,175,2376,技嘉,120,22Q4,763,163,144,218,318,548,24.4,49.5,1.29,1.38,636,270,0,5.95,276,359,56.53,45
184,176,2439,美律,86.3,22Q4,188,69.2,89.8,49.1,167,219,56.9,41.5,11,1.08,334,141,45.1,0.64,204,131,56.35,43
185,177,2395,研華,358,22Q4,2777,120,112,140,266,417,92.9,110,27.9,2.08,664,185,1.22,5.25,221,443,56.32,64
186,178,1301,台塑,90,22Q4,5729,171,278,224,1334,1608,2290,1073,6.07,106,5113,959,337,40.2,1536,3577,56.19,49
187,179,6582,申豐,60.8,22Q4,64.6,2.94,2.07,2.52,25,27.9,11.1,25.2,,0.23,64.8,5.16,,0,5.24,59.6,56.1,55
188,180,6214,精誠,75.9,22Q4,207,43.3,64.6,47.9,143,218,48.5,22.1,3.29,3.69,299,119,31,1.35,153,146,56.07,40
190,181,5478,智冠,91,22Q4,116,55,19.9,0.62,74.9,152,6.11,3.68,5.05,0.89,168,85.4,,1.53,88.2,80,56,62
191,182,2233,宇隆,106.5,22Q3,64.2,11.5,8.36,8.42,22.3,31.4,,15.7,0.08,3.29,51.5,12,3.72,0.01,17.8,33.8,55.78,61
192,183,1326,台化,68,22Q4,3986,330,370,484,1685,2247,1719,1428,0.06,123,5555,1170,592,48.3,1822,3734,55.76,40
193,184,9941,裕融,173.5,22Q4,862,73.2,2290,5.15,2380,2449,1.74,238,3.3,22.4,2737,2323,29.6,4.84,2377,359,55.58,47
194,185,6213,聯茂,75.1,22Q4,273,52.1,124,27.3,176,215,0.8,65.6,0.09,46.8,334,109,16.8,0.38,133,201,55.41,45
195,186,6147,頎邦,70.4,22Q4,520,58.6,46.2,17.7,105,123,150,178,50.7,0.89,510,61.6,27,0,101,409,55.36,77
196,187,3501,維熹,52.4,22Q3,62,15.9,19.5,24.7,36.2,61.6,3.06,20.3,0.05,0.47,86.4,14.5,0.73,0.21,21.2,65.3,55.19,57
197,188,8437,大地-KY,120.5,22Q3,57.7,8.12,3.48,1.22,14.7,16.1,2.06,1.12,0,15.3,35.2,8.05,,0.05,8.76,26.4,55.17,72
198,189,4104,佳醫,80.4,22Q3,119,26.9,47.5,10.3,81.1,93,54.1,7.17,0.32,2.54,162,55.6,,0.2,60.4,102,54.98,51
199,190,2228,劍麟,83,22Q4,62.9,10.6,11.6,10.6,28.9,40.1,,18.3,0.27,1.11,61.1,14.1,0.26,0.44,19.5,41.6,54.95,57
200,191,2250,IKKA-KY,72.4,22Q3,21.2,6.96,8.9,5.65,16.1,22.3,0.81,8,0.04,0.62,33.3,11.9,2.64,2.06,17.4,15.9,54.5,43
201,192,3587,閎康,176,22Q3,110,15.9,11.4,,27.3,30.5,1.27,28,0.05,2.34,64.5,14.7,14.2,0.18,30.8,33.7,54.38,59
202,193,5483,中美晶,152,22Q4,891,832,113,108,949,1161,133,519,71.2,47.7,1966,436,732,37.8,1285,681,54.37,66
203,194,6690,安碁資訊,187.5,22Q4,41.7,5.68,2.81,,10.6,10.7,0.24,3.43,1.09,2.99,21.4,6.41,,0.45,9.26,12.1,54.36,57
204,195,1722,台肥,55.8,22Q4,547,27,23.8,31.8,52.6,98,557,135,1.21,4.02,808,31.7,,170,277,531,54.14,40
205,196,8924,大田,132.5,22Q4,111,29.8,14.4,8.88,44.2,53.5,0.87,6.86,0.41,0.07,63.3,15.4,,0.1,18.1,45.2,53.94,74
206,197,6279,胡連,147,22Q3,146,11.1,24.8,18,36.5,58.1,0.23,38.7,0.18,2.87,101,44.4,,0.41,47.5,53.9,53.92,57
207,198,1503,士電,81.5,22Q4,425,32.2,77.1,88,133,231,185,70.8,,1.37,494,179,0,3.98,207,287,53.83,38
209,199,8213,志超,40.05,22Q3,109,101,78.4,21,179,203,0.28,85.2,3.76,0.54,295,138,1.01,4.19,143,152,53.6,51
210,200,4912,聯德控股-KY,73.3,22Q3,45.6,13.1,25.1,9.97,43.2,54.1,11,13.5,1,1.59,84.3,28.4,15.8,0.13,50.1,34.2,53.56,45
211,201,6789,采鈺,227.5,22Q4,717,119,8.45,0.85,131,133,,119,0.5,0.22,256,36.4,47.6,0.45,87.1,169,53.53,68
212,202,3023,信邦,298,22Q4,701,51.1,92.4,123,146,277,11.4,30.4,0.41,5.45,330,178,9.68,0.68,195,135,53.4,51
213,203,8478,東哥遊艇,386.5,22Q4,344,23.3,7.2,33.9,32.8,72.5,,13.5,0.31,0.09,90.5,21.3,19.9,0.03,43.7,46.8,53.21,75
214,204,3036,文曄,65.9,22Q4,582,53.8,868,905,922,1836,96.9,9.74,33.7,6.11,2002,1248,178,14.3,1452,550,53.12,26
215,205,1795,美時,248.5,22Q4,653,19.8,46.1,33.3,68.6,107,21.6,30.5,130,1.85,295,58.9,86.6,5.78,157,139,52.92,62
216,206,6830,汎銓,128.5,22Q3,60.1,9.96,6.19,,16.3,17,0,17.3,0.06,1.49,37.1,4.66,6.38,0.07,12.3,24.7,52.85,64
217,207,1537,廣隆,141,22Q3,116,14.8,10,21.5,25.9,48.5,1.83,7.82,0.03,0.51,59.3,12.2,,0.29,16.1,43.1,52.56,64
218,208,5215,科嘉-KY,49,22Q3,31.5,8.71,9.96,3.74,22.8,27.2,3,8.61,1.58,0.79,42.6,6.31,,0.03,8.53,34.1,52.56,62
219,209,6261,久元,66.7,22Q3,85.7,28.8,9.37,10.2,40.3,51.9,6.55,24.6,0.27,0.49,86.2,15.3,0,0.16,16.7,69.5,52.39,72
220,210,3022,威強電,75.3,22Q4,133,41.4,11.6,18,56.8,91.8,27.1,13.1,0.2,0.29,134,31.5,,0.57,41.4,92.3,52.28,64
221,211,6592,和潤企業,118,22Q4,608,23.8,2264,0.06,2295,2368,4.04,68.9,,101,2554,2214,2.55,2.24,2225,329,52.18,49
222,212,8938,明安,110,22Q4,152,22.9,51,41.1,74.2,118,0.59,37.9,0.18,2.46,168,68.4,13.6,0.66,90.8,77.4,52.13,55
223,213,5469,瀚宇博,34.4,22Q4,182,220,153,81,387,472,140,117,7.2,2.64,759,262,80.3,3.54,359,400,51.95,49
224,214,9939,宏全,99.2,22Q4,285,52.4,41.4,33.8,96,144,0.43,182,3.77,21,366,135,69.2,1.34,211,155,51.81,51
225,215,2211,長榮鋼,56.2,22Q4,234,15.6,12.6,31,92.8,124,106,33.9,49.6,2.97,318,37.1,31.7,0.58,70.4,248,51.8,62
226,216,6146,耕興,268,22Q4,260,24.2,11.5,0.53,41.1,43.9,0.47,25.2,,0.24,71.7,14.8,,0.16,18.4,53.3,51.53,91
228,217,3152,璟德,207.5,22Q4,143,5.96,2.82,1.86,8.79,14,,27.1,0.03,0.16,41.5,4.93,,0.19,5.93,35.5,51.5,70
229,218,5263,智崴,131,22Q4,83.1,7.22,2.7,3.21,26.9,31,4.37,7.58,1.97,0.84,49.5,9.43,5.3,,17.6,31.9,51.09,47
230,219,6438,迅得,98.2,22Q4,70.1,14.7,12.5,23,33.7,58.5,1.2,16.9,0.15,0.41,79.1,33,7.26,0.02,42.2,36.9,51.05,53
231,220,8044,網家,63.2,22Q4,81,68.5,46.1,19.8,115,151,14.8,11.3,58.1,9.04,266,142,21.9,2.51,182,84.4,50.87,43
232,221,3706,神達,28.35,22Q4,342,78,79.3,92.4,173,270,497,77.7,1.14,0.76,856,157,4.38,2.91,249,607,50.65,47
233,222,1580,新麥,100,22Q3,50.2,5.71,5.18,9.3,12.7,22.2,1.57,11.5,0.07,0.51,37.2,9.87,0.07,0.06,10.6,26.5,50.54,62
234,223,1339,昭輝,45.1,22Q3,33.4,8.93,6.1,3.09,18.8,22.4,0.95,29.1,0.06,1.39,56.4,11.3,6.02,0.16,17.9,38.5,50.51,66
235,224,6591,動力-KY,48.15,22Q4,16.4,9.17,5.31,2.63,14.5,17.4,0,10.9,0.07,0.72,29.4,6.75,3.87,0.37,12.1,17.4,50.5,62
236,225,8114,振樺電,109,22Q3,81.9,20.5,24.8,38.1,55.4,95.1,4.4,34,28.8,0.63,171,42.2,12.4,47.7,107,64.1,50.48,55
237,226,2404,漢唐,236.5,22Q3,451,86.6,28.6,0.68,174,230,25.7,13.8,0.2,0.47,274,171,,2.89,178,96.2,50.45,64
238,227,2360,致茂,165,22Q4,702,59.4,47.6,47.5,125,178,77.5,70.2,3.11,2.62,338,92.8,11.6,2.24,120,219,50.41,72
239,228,5299,杰力,126.5,22Q4,45.4,2.25,2.51,8.99,5.17,22.8,1.06,1.72,0.03,1.55,27.4,9.3,0.01,,9.34,18.1,50.4,68
240,229,8942,森鉅,66.2,22Q3,110,20.2,15.2,12,67.8,80.6,35.4,45.8,0,0.72,163,55,15.7,0.29,72.7,90.5,50.4,70
241,230,2392,正崴,39,22Q4,200,112,191,178,361,611,86.9,209,17.5,30.9,983,364,220,17.6,620,363,50.37,38
242,231,3693,營邦,113,22Q3,43.5,4.66,10.5,25.5,15.2,42.2,,6.7,0.23,0.13,51.5,30.4,,0.22,32.1,19.4,50.37,34
243,232,6747,亨泰光,258.5,22Q3,62.5,5.31,1.66,0.91,7.09,8.22,1.72,3.09,0.04,0.7,14.1,1.42,0.16,0.01,1.88,12.2,50.35,89
244,233,6285,啟碁,87.1,22Q4,345,42.8,217,246,269,524,1.7,105,1.89,0.87,659,396,40.3,1.62,455,204,50.29,34
245,234,2385,群光,91.4,22Q4,687,122,258,188,422,627,68.6,157,0.93,7.22,871,441,,2.37,447,423,49.9,47
247,235,3130,一零四,205,22Q4,68,13.3,0.9,,29.4,29.7,0.05,2.08,0,0.24,33.2,15.9,,0.13,16.6,16.5,49.8,70
248,236,4552,力達-KY,29.95,22Q3,34.7,19.2,10.6,3.3,37.9,41.2,0.51,32.8,,0.01,76.3,13.1,,,18.6,57.6,49.69,60
249,237,2643,捷迅,75.3,22Q3,22.6,8.46,14.1,,24.3,24.8,0.04,1.18,0.01,0.46,26.9,10.6,,0.05,12,14.8,49.44,57
250,238,1777,生泰,81.7,22Q4,36.4,8.45,2.66,3.54,12.3,15.9,0.09,10.1,0,0.99,27.8,5.04,,0,5.8,22,49.32,74
251,239,3552,同致,159.5,22Q3,137,10.2,50.4,20.6,62.2,83.2,2.14,14.3,1.2,1.25,108,52.2,7.4,0.24,65.6,42.1,49.21,40
252,240,2412,中華電,119,22Q4,9231,502,247,113,810,1019,215,2915,792,127,5232,657,398,142,1294,3938,49.14,66
253,241,4580,捷流閥業,91.7,22Q3,39.6,6.38,5.15,9.85,12.5,22.7,,9.8,0.01,0.22,35.4,8.49,2.86,,14.2,21.2,49.11,57
254,242,6782,視陽,262.5,22Q4,165,18,3.39,4.62,21.4,26.5,,17.6,1.47,1.37,52.9,9.56,11.6,0.26,21.9,31.1,48.96,75
255,243,4571,鈞興-KY,73.4,22Q3,39.2,8.72,7.29,7.79,16,24.5,0.01,10.6,0.08,1.17,37.2,10.3,0.28,0.3,11.2,26,48.71,60
256,244,2201,裕隆,75.8,22Q4,758,173,2309,98.8,2533,2708,418,389,7.04,37.1,3604,2536,238,44.6,2879,725,48.5,28
257,245,6504,南六,78.2,22Q4,56.8,15.2,12.5,8.67,30,42.3,1.14,48.8,0.01,5.8,104,42.7,21.9,0.29,69.2,35,48.23,43
258,246,2459,敦吉,56.1,22Q3,59.2,21.4,25.3,6.49,64.5,72.3,14.9,16.7,0.03,0.31,105,42.2,7,0.22,50,55.2,48.22,53
259,247,4572,駐龍,137,22Q4,49,4.53,1.9,3.85,9.92,13.9,0.74,3.45,0.15,0.1,21.4,1.57,,0.6,4.21,17.2,48.15,79
260,248,4999,鑫禾,37,22Q4,27.5,18.5,7.59,3.1,26.1,29.5,1.26,9.58,,0.56,42,5.78,,0.01,6.7,35.3,47.99,57
261,249,6196,帆宣,128,22Q4,250,64.8,63.8,62.7,220,301,7.73,24.4,1.09,0.94,353,239,2,1.43,258,94.8,47.97,51
262,250,4971,IET-KY,53.5,22Q3,19.7,1.67,1.62,1.92,4.88,6.98,,12.2,0,0.15,19.4,1.76,,,1.92,17.5,47.94,73
263,251,6806,森崴能源,85.8,22Q4,185,18.3,2.18,0.01,73.9,133,16.4,12,2.47,16.4,182,60.9,13.4,0.23,76.4,106,47.9,45
264,252,4557,永新-KY,111,22Q4,46.6,11.3,8.63,5.04,19.9,25.1,,7.92,0.06,0.35,34,12.7,0.44,0,13.4,20.6,47.68,64
266,253,3455,由田,93.4,22Q4,55.9,6.53,16.6,9.66,23.2,33.5,2.86,12,0.03,0.6,50.4,15.1,6.16,0,21.9,28.5,47.58,66
267,254,2850,新產,49.2,22Q4,155,109,16,,,,218,11.5,0.23,7.97,440,,,2.43,290,150,47.57,64
268,255,3081,聯亞,115,22Q4,106,16.4,4.58,3.76,21,25.1,,21.6,0.06,1.13,51.2,4.5,,0.05,7.61,43.6,47.42,68
269,256,5223,安力-KY,40.95,22Q3,18.2,3.67,11.1,1.78,21.9,24,1.01,10.3,0.04,0.15,38.3,10.7,3.32,1.19,17.2,21.1,47.38,53
270,257,4739,康普,96.6,22Q4,103,30.7,6.1,22.5,37.3,65.2,0.03,44.8,,1.77,113,33.1,17,0.07,53.9,59.1,47.33,49
271,258,1303,南亞,75.4,22Q4,5980,894,578,530,1843,2432,1880,2120,17.3,157,6653,1706,583,229,2712,3941,47.3,51
272,259,2753,八方雲集,206.5,22Q3,136,8.96,2.14,2.81,18.8,22.6,0.04,17.3,0.12,3.31,56.4,13.5,0.35,0.41,24.7,31.7,47.17,64
273,260,3687,歐買尬,85.3,22Q4,25.6,11.8,8.67,0,49.7,77.9,3.11,0.21,0.12,2.13,83.6,40.2,5.69,0.76,46.8,36.8,46.9,57
274,261,5530,龍巖,39.45,22Q3,166,4.22,91.3,171,131,407,156,71.2,7.63,12.8,665,448,,0.7,450,214,46.9,55
275,262,6568,宏觀,162,22Q3,49.9,6.22,0.87,4.89,10.7,15.8,0.15,2.25,0.98,0.03,19.3,4.94,,0.02,4.99,14.4,46.89,62
276,263,6561,是方,371,22Q4,262,23.6,2.3,0.04,25.9,27.8,1.21,11,0.53,0.35,57.5,7,,0.93,24.2,33.3,46.83,81
277,264,8261,富鼎,106,22Q4,124,6.85,7.58,8.73,40.4,49.6,1.67,4.58,0.03,5.4,61.7,6.87,0,,6.94,54.8,46.7,72
278,265,4163,鐿鈦,125,22Q4,60.4,11.1,2.89,9.55,14,24.6,1.2,16.8,0.7,0.79,45.6,13.6,7.78,0.89,23,22.6,46.68,62
279,266,6538,倉和,83.2,22Q3,31.8,5.15,7.94,1.76,14.3,16.2,1.06,7.65,0.03,0.42,26,6.28,,0.68,8.65,17.4,46.57,57
280,267,6756,威鋒電子,220.5,22Q4,151,15.1,2.61,9.58,17.8,27.5,8.01,0.81,0.46,0.64,38.3,6.45,,0.03,6.47,31.8,46.26,77
281,268,1583,程泰,65.2,22Q3,72,24.1,22.2,37.2,60.9,106,3.12,32.9,1.6,0.76,149,75,2.29,1.09,81.6,67.2,46.25,53
282,269,3570,大塚,115.5,22Q3,19.7,4.46,2.95,1.82,7.42,9.56,0.3,0.27,,0.32,10.7,2.55,,0.03,2.77,7.89,46.11,66
283,270,6556,勝品,172.5,22Q4,49.6,3.3,6.32,5.73,9.63,15.6,1.23,7.68,0,0.04,24.7,9.7,1.45,0.05,11.4,13.4,45.84,57
285,271,6788,華景電,140,22Q4,48.6,10.5,2.2,4.48,12.7,17.3,,6.1,0.03,0.01,23.7,5.08,2.2,0,7.77,15.9,45.67,77
286,272,1234,黑松,35.55,22Q4,143,9.77,9.03,54.4,24,79.7,84.5,59.4,0.06,2.77,228,19.8,,2.25,44.1,183,45.65,45
287,273,2451,創見,71.6,22Q4,307,31.9,13,31.4,131,163,33.1,15.8,,0.52,215,14.3,,0.42,19.8,196,45.57,72
288,274,4755,三福化,123,22Q4,124,6.02,12.4,7.17,21,33.7,6.06,30.2,,0.67,72.2,22.1,3.25,0.08,26,46.2,45.56,60
289,275,6762,達亞,250,22Q4,64.7,3.37,1.26,0.99,4.63,5.71,,3.66,0.03,4.99,18.3,1.68,0.97,,6.52,11.8,45.49,75
290,276,6435,大中,103,22Q4,34.4,2.08,2.93,9.88,5.01,15.6,0.99,2.2,0.07,5.95,25,6.23,,3.6,9.84,15.2,45.4,53
291,277,1102,亞泥,42.7,22Q4,1514,435,148,86.7,1012,1114,1405,398,67.9,200,3242,710,555,10.2,1400,1842,45.35,45
292,278,2387,精元,42.05,22Q3,82.1,31.4,92.2,36.2,130,170,3.82,55.2,0.34,0.89,233,118,11.6,2.07,134,99,45.27,43
293,279,2524,京城,32.4,22Q3,120,2.55,0.38,319,2.94,330,0.15,6.86,1.62,0.5,340,94.3,77.7,0.37,173,167,45.26,47
294,280,6138,茂達,146.5,22Q4,109,19.3,7.6,15.9,28.7,45.3,0,6.89,0.29,6.21,60.6,14.2,,4.02,19.5,41.1,45.18,68
295,281,5609,中菲行,83.7,22Q4,114,58.1,28.4,,86.6,90.5,2.7,5.6,0.74,1.12,105,41.8,,0.46,44,61.2,45.09,57
296,282,3483,力致,63,22Q4,49.2,14.4,25.3,11.4,41,53.6,0.88,15.6,0.37,0.88,73.1,34.2,1,0,38,35.2,45.02,45
297,283,8454,富邦媒,816,22Q4,1783,80.4,27.3,44.8,108,156,11.3,73.2,0.57,5.69,263,150,,3.6,164,99,44.92,53
298,284,2478,大毅,46.8,22Q4,67.7,15.7,12.6,21.4,29.7,52.2,2.32,35,0.22,0.48,91.4,17.9,7.52,,25.5,65.9,44.86,57
299,285,1582,信錦,60,22Q4,74.2,35.1,21.5,9.08,66,78.8,2.35,21.8,3.84,0.76,114,37.9,13.6,0.25,55.7,58.8,44.83,49
300,286,3019,亞光,64.9,22Q4,181,91.8,39.1,33.6,132,168,5.8,25.4,0.74,0.98,204,53.8,,1.33,57.3,147,44.71,53
301,287,3260,威剛,68.6,22Q4,183,51.4,47.1,62.3,112,185,57.2,98.3,7,2.92,359,105,113,0.35,233,126,44.7,40
302,288,6485,點序,80.6,22Q4,36,13.6,1.66,5.38,15.5,21.3,,2.13,0.5,0.02,24.2,4.18,,0,4.23,19.9,44.62,77
304,289,6023,元大期,49.85,22Q4,145,97.1,2.42,,1080,1086,21.6,6.53,0.74,14.9,1124,978,15,0.71,995,129,44.39,55
305,290,6416,瑞祺電通,99.8,22Q3,73,5.77,11.4,28.9,17.3,47.9,0.38,0.88,3.51,1.41,55,19.5,0.23,0,20.5,34.4,44.34,49
306,291,5474,聰泰,77.3,22Q4,31.2,4.56,0.04,3.53,4.6,9.36,11,0.11,0.04,0.18,21.1,3.02,,0.02,3.55,17.6,44.27,74
307,292,4138,曜亞,73.4,22Q3,22,6.69,2.41,2.08,14.5,17.1,1.63,1.79,0.03,1.41,25.2,7.77,,0.01,10.2,15,44.22,60
308,293,2316,楠梓電,28.1,22Q3,51.4,4.61,14.6,11.5,22.4,52.6,45.1,25.4,0,6.85,133,27.4,15.8,1.7,52.5,80.2,44.18,36
309,294,6411,晶焱,122.5,22Q3,120,18.8,4.72,5.48,23.5,31.1,0.78,15.8,0.89,9.19,59.9,17.3,,0.18,17.5,42.4,44.07,70
310,295,8155,博智,118.5,22Q4,60.7,8.51,11.2,4.87,19.7,25,,10.3,0.02,0.39,35.8,13,,0.14,13.2,22.6,44.07,59
311,296,6274,台燿,70.8,22Q4,191,58.9,62.1,19.7,130,151,0.08,42.9,0.14,2.32,198,65.5,11.5,1.09,79,119,44.06,51
312,297,2382,廣達,83.2,22Q4,3214,2046,2855,2259,5000,7333,43.5,632,8.69,27.5,8161,6286,45.3,6.2,6396,1765,43.89,38
313,298,8416,實威,126,22Q3,35.5,8.6,2.73,0.55,11.5,12.3,,2.16,0.22,0.11,15,2.26,0.1,0.09,2.63,12.4,43.88,80
314,299,3017,奇鋐,119,22Q4,420,200,50.8,174,267,455,5.24,96.9,1.34,15.1,605,329,65.9,7.18,431,174,43.86,53
315,300,6728,上洋,151,22Q4,34.7,1.32,2.03,7.57,3.35,11.5,0,3.41,,0.91,16.9,5.42,0.65,0.11,6.85,10.1,43.85,55
