,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Foreign_Investor_diff,Investment_Trust_diff,Margin_Purchase_diff,Short_Sale_diff
0,2022-01-03,2330,73703302,46249716919,619.0,632.0,618.0,631.0,16.0,88508,32537157,1162044,1262,-159
1,2022-01-04,2330,90945643,59188199534,645.0,656.0,644.0,656.0,25.0,106409,29781873,3970667,-175,-190
2,2022-01-05,2330,72505550,47582832784,669.0,669.0,646.0,650.0,-6.0,64712,4788430,601813,571,93
3,2022-01-06,2330,57490736,36817638522,638.0,646.0,636.0,644.0,-6.0,53430,-11445158,836637,1951,77
4,2022-01-07,2330,39847766,25358237656,643.0,646.0,632.0,634.0,-10.0,44497,-10093809,405000,862,62
5,2022-01-10,2330,39286754,25052138297,628.0,645.0,627.0,643.0,9.0,33453,-343361,417000,1806,-36
6,2022-01-11,2330,36186544,23361588355,646.0,651.0,639.0,651.0,8.0,26849,8261499,260151,-718,-41
7,2022-01-12,2330,40832298,26762357054,657.0,660.0,650.0,660.0,9.0,39164,15115705,367255,266,-55
8,2022-01-13,2330,39172028,25813559647,658.0,662.0,655.0,661.0,1.0,34355,10859343,706485,493,-12
9,2022-01-14,2330,98768193,66094477906,673.0,673.0,661.0,672.0,11.0,83211,42593496,865394,-2370,-166
10,2022-01-17,2330,63828552,43615303577,685.0,688.0,678.0,683.0,11.0,61981,19185566,44700,-952,-73
11,2022-01-18,2330,48802321,32742176854,678.0,681.0,662.0,662.0,-21.0,65357,-13959113,-30266,-222,158
12,2022-01-19,2330,44092247,28859030269,652.0,660.0,651.0,654.0,-8.0,50763,754960,130820,26,42
13,2022-01-20,2330,48996473,31893527292,650.0,657.0,646.0,651.0,-3.0,39346,-8405152,-2265000,1064,44
14,2022-01-21,2330,53966101,34642476570,644.0,646.0,637.0,641.0,-10.0,66088,-12789353,442000,184,82
15,2022-01-24,2330,48665203,31412475591,639.0,655.0,637.0,653.0,12.0,36231,4882307,373000,-688,-25
16,2022-01-25,2330,53927064,34582254327,643.0,645.0,638.0,641.0,-12.0,56698,-18112909,870000,1085,61
17,2022-01-26,2330,33093553,21089251429,635.0,641.0,635.0,636.0,-5.0,35647,-9647174,923000,111,38
18,2022-02-07,2330,64637049,41221401027,644.0,644.0,631.0,635.0,-1.0,43774,-3939208,695000,52,4
19,2022-02-08,2330,43786259,27805114442,645.0,645.0,628.0,628.0,-7.0,40026,-8741884,885000,662,16
20,2022-02-09,2330,33633394,21289086984,635.0,637.0,630.0,633.0,5.0,29746,-745149,-308000,141,6
21,2022-02-10,2330,37388892,24028303016,639.0,649.0,637.0,649.0,16.0,28452,11052768,115250,-548,-87
22,2022-02-11,2330,28194682,18225628338,646.0,650.0,642.0,650.0,1.0,21995,3247128,60600,-1338,8
23,2022-02-14,2330,39394670,25104180949,640.0,641.0,635.0,637.0,-13.0,33928,-5554218,710000,258,57
24,2022-02-15,2330,24497955,15556533655,633.0,639.0,633.0,633.0,-4.0,31907,-7829684,331000,469,28
25,2022-02-16,2330,27395771,17635435307,645.0,646.0,640.0,646.0,13.0,23136,3211358,233000,-671,-18
26,2022-02-17,2330,20447347,13171026165,644.0,646.0,641.0,645.0,-1.0,16116,2664857,80000,-636,-20
27,2022-02-18,2330,21948975,13997433486,638.0,639.0,636.0,637.0,-8.0,23892,-7116349,255000,1029,42
28,2022-02-21,2330,25769408,16320629980,633.0,636.0,632.0,632.0,-5.0,41961,-10023713,-7150,-64,29
29,2022-02-22,2330,38526210,24153923316,628.0,630.0,625.0,627.0,-5.0,68303,-12998848,1083000,-1387,24
30,2022-02-23,2330,34561338,21606428438,624.0,629.0,623.0,625.0,-2.0,50926,-19180275,274000,1528,2
31,2022-02-24,2330,80672979,49358065299,618.0,619.0,604.0,604.0,-21.0,188248,-45666037,1080000,1060,32
32,2022-02-25,2330,94155943,56880320916,600.0,609.0,600.0,604.0,0.0,129776,-48556108,1579924,2002,11
33,2022-03-01,2330,70303880,42445208215,599.0,610.0,599.0,604.0,0.0,67439,-25525399,641000,355,-5
34,2022-03-02,2330,42428151,25528700277,601.0,605.0,600.0,601.0,-3.0,58916,-20842594,324000,952,14
35,2022-03-03,2330,37103932,22373890387,603.0,607.0,601.0,602.0,1.0,65410,-16359674,77000,771,-7
36,2022-03-04,2330,65235167,38833099256,595.0,597.0,592.0,595.0,-7.0,206731,-44218803,292000,516,0
37,2022-03-07,2330,97167600,56147025127,580.0,581.0,575.0,576.0,-19.0,297917,-59332332,2340000,760,-35
38,2022-03-08,2330,88371413,49908147901,561.0,570.0,561.0,563.0,-13.0,269695,-45542448,2011000,403,6
39,2022-03-09,2330,57512412,32761408119,567.0,573.0,567.0,568.0,5.0,112422,-28712443,885000,1101,60
40,2022-03-10,2330,49092145,28798814637,585.0,589.0,582.0,587.0,19.0,71569,-5749633,491000,-641,45
41,2022-03-11,2330,42981381,24820833930,581.0,582.0,574.0,575.0,-12.0,112158,-28701540,416000,946,0
42,2022-03-14,2330,38562552,22131365409,574.0,577.0,572.0,572.0,-3.0,87337,-19453428,783000,667,0
43,2022-03-15,2330,84338792,47191728965,562.0,563.0,558.0,558.0,-14.0,277901,-59184374,1315000,1398,0
44,2022-03-16,2330,50764807,28345633852,564.0,565.0,555.0,558.0,0.0,110732,-19087812,1122000,-86,-111
45,2022-03-17,2330,65820899,38121960334,578.0,583.0,575.0,582.0,24.0,65468,20682376,437000,-2259,-44
46,2022-03-18,2330,49583448,28771454221,582.0,582.0,576.0,581.0,-1.0,39576,-1492350,-1483962,-476,35
47,2022-03-21,2330,22800165,13363354969,583.0,589.0,583.0,586.0,5.0,32617,-922053,372650,-112,2
48,2022-03-22,2330,23421124,13613967252,577.0,586.0,577.0,583.0,-3.0,27371,-1391938,346000,-727,6
49,2022-03-23,2330,27475008,16177424772,590.0,590.0,586.0,590.0,7.0,30970,6188040,-228000,-302,-7
50,2022-03-24,2330,20769676,12232627003,587.0,592.0,585.0,591.0,1.0,21647,3352889,-21000,-106,-26
51,2022-03-25,2330,26794684,15984831591,597.0,598.0,595.0,598.0,7.0,29896,9215328,214000,-630,-14
52,2022-03-28,2330,27954730,16298449416,581.0,586.0,580.0,584.0,-14.0,54537,-11744259,209000,1294,49
53,2022-03-29,2330,15742359,9243985774,586.0,589.0,584.0,589.0,5.0,21222,2644380,414000,-331,33
54,2022-03-30,2330,43256548,25908489513,599.0,600.0,597.0,600.0,11.0,48535,18648096,982000,773,44
55,2022-03-31,2330,25130417,15014260610,602.0,602.0,594.0,597.0,-3.0,18860,3832421,636000,-635,0
56,2022-04-01,2330,31247086,18328227645,585.0,589.0,584.0,589.0,-8.0,53178,-9673896,240000,562,0
57,2022-04-06,2330,40726932,23547636944,578.0,580.0,575.0,578.0,-11.0,62822,-12253919,649000,1155,0
58,2022-04-07,2330,47212937,26881649976,571.0,573.0,566.0,566.0,-12.0,130552,-26076819,814000,975,-65
59,2022-04-08,2330,31406384,17821660486,567.0,570.0,566.0,567.0,1.0,75778,-15697917,659000,818,-14
60,2022-04-11,2330,41713758,23401330531,563.0,566.0,558.0,558.0,-9.0,130731,-22973138,1233000,-303,-62
61,2022-04-12,2330,34799056,19418030839,554.0,564.0,552.0,557.0,-1.0,69280,-7863713,-597000,379,-22
62,2022-04-13,2330,36968137,21134384849,564.0,576.0,563.0,573.0,16.0,41249,3452929,877000,-410,-168
63,2022-04-14,2330,20224847,11618596373,577.0,578.0,573.0,573.0,0.0,27442,-1517022,238000,268,-31
64,2022-04-15,2330,33158930,18667922752,562.0,566.0,561.0,562.0,-11.0,99936,-14217360,655000,-990,44
65,2022-04-18,2330,16579296,9311198146,559.0,566.0,558.0,561.0,-1.0,31712,-2495444,1085000,157,7
66,2022-04-19,2330,18811242,10639032272,566.0,569.0,563.0,565.0,4.0,24598,1068711,-346000,-226,109
67,2022-04-20,2330,28240222,16016967192,570.0,570.0,562.0,570.0,5.0,28615,3340795,-148000,-302,37
68,2022-04-21,2330,21539083,12221437009,571.0,571.0,565.0,565.0,-5.0,28847,-2220563,-413000,-6,10
69,2022-04-22,2330,35567672,19849449551,558.0,559.0,557.0,558.0,-7.0,81550,-16332999,-1057000,-77,18
70,2022-04-25,2330,49067362,26907070565,550.0,552.0,546.0,547.0,-11.0,165619,-23434012,703000,-467,1
71,2022-04-26,2330,39549934,21628474846,550.0,551.0,544.0,546.0,-1.0,90252,-12939479,-17000,72,-32
72,2022-04-27,2330,65034122,34416315121,530.0,532.0,526.0,526.0,-20.0,217895,-27820418,1175000,921,10
73,2022-04-28,2330,50406145,26653291522,530.0,532.0,523.0,531.0,5.0,79897,-7402898,91000,-120,-27
74,2022-04-29,2330,39960198,21586196160,547.0,547.0,535.0,538.0,7.0,41498,-642909,142000,-329,-8
75,2022-05-03,2330,29502561,15790689728,538.0,540.0,530.0,531.0,-7.0,48050,-3540078,336000,-37,-20
76,2022-05-04,2330,17305449,9229779558,533.0,537.0,530.0,534.0,3.0,27460,-2064713,-546000,-32,-30
77,2022-05-05,2330,22540182,12209716759,543.0,544.0,539.0,542.0,8.0,26904,1470960,314209,-76,3
78,2022-05-06,2330,34512038,18241210653,528.0,531.0,526.0,528.0,-14.0,66208,-10013327,144000,-671,44
79,2022-05-09,2330,27309304,14249571058,523.0,524.0,520.0,520.0,-8.0,82004,-8391173,18000,146,-16
80,2022-05-10,2330,44322247,22673191861,506.0,519.0,505.0,518.0,-2.0,83371,-8338043,-109000,427,49
81,2022-05-11,2330,28109896,14662149551,518.0,526.0,518.0,521.0,3.0,40227,-2923890,113000,86,-98
82,2022-05-12,2330,35824788,18310112210,516.0,518.0,505.0,505.0,-16.0,107513,-11205005,-18000,-11,35
83,2022-05-13,2330,30204773,15412261905,507.0,514.0,506.0,511.0,6.0,37707,-4074521,120000,454,-72
84,2022-05-16,2330,22012610,11472463517,521.0,524.0,518.0,520.0,9.0,30034,5359662,310474,-959,-79
85,2022-05-17,2330,25812051,13627135311,521.0,533.0,520.0,530.0,10.0,30826,1627234,356000,-304,0
86,2022-05-18,2330,33605299,18075946322,541.0,541.0,534.0,538.0,8.0,34913,2055370,213000,-574,-53
87,2022-05-19,2330,40798132,21322524192,523.0,527.0,520.0,522.0,-16.0,47232,-12178256,-99000,1435,61
88,2022-05-20,2330,26111163,13784969436,524.0,532.0,523.0,530.0,8.0,21767,3715073,158000,-230,-35
89,2022-05-23,2330,18919447,10040778291,533.0,534.0,528.0,528.0,-2.0,18775,-39078,47000,-414,3
90,2022-05-24,2330,19130619,10036942322,530.0,531.0,520.0,520.0,-8.0,31716,-3855413,1469000,10,29
91,2022-05-25,2330,22460245,11782306905,522.0,529.0,520.0,524.0,4.0,18352,-3964586,2000,409,33
92,2022-05-26,2330,31542825,16336162581,523.0,525.0,513.0,514.0,-10.0,72846,-13628702,95000,229,22
93,2022-05-27,2330,30113220,15855257581,524.0,530.0,522.0,530.0,16.0,28711,4687416,166000,-785,-25
94,2022-05-30,2330,36480411,19757635264,538.0,547.0,537.0,547.0,17.0,42797,13818800,491000,-1710,-191
95,2022-05-31,2330,81962870,45507333341,542.0,560.0,540.0,560.0,13.0,34286,14405831,327846,-861,-291
96,2022-06-01,2330,32970903,18171598472,550.0,555.0,548.0,549.0,-11.0,33456,-4503235,-30000,649,402
97,2022-06-02,2330,26063495,14122936388,544.0,545.0,540.0,540.0,-9.0,30042,-3067349,-1991000,743,66
98,2022-06-06,2330,23732327,12843324209,541.0,544.0,538.0,540.0,0.0,16614,-3910168,-69000,238,44
99,2022-06-07,2330,22152512,11846386906,535.0,538.0,532.0,535.0,-5.0,28586,-5588568,-63000,630,56
100,2022-06-08,2330,19609522,10636701303,539.0,545.0,538.0,544.0,9.0,18487,4544412,-27000,-880,8
101,2022-06-09,2330,16894479,9115934006,538.0,542.0,537.0,541.0,-3.0,18802,-2306426,252400,-18,51
102,2022-06-10,2330,22614596,12011615014,530.0,533.0,529.0,530.0,-11.0,44802,-14523387,-10700,779,136
103,2022-06-13,2330,36758925,18998155460,518.0,519.0,515.0,516.0,-14.0,112023,-23234070,71000,1267,0
104,2022-06-14,2330,38838778,19813036892,507.0,514.0,507.0,513.0,-3.0,85483,-19466765,79461,1616,0
105,2022-06-15,2330,38360508,19580150319,508.0,515.0,508.0,509.0,-4.0,72687,-13779492,246338,150,0
106,2022-06-16,2330,31908028,16331470764,515.0,516.0,507.0,508.0,0.0,42177,1619692,-8000,-752,-102
107,2022-06-17,2330,48400798,24260277915,499.5,503.0,499.0,501.0,-7.0,119618,-17118179,-1523000,7,-28
108,2022-06-20,2330,36664463,18267359790,500.0,502.0,495.0,498.0,-3.0,89541,-12072889,584000,-560,-144
109,2022-06-21,2330,34432537,17298234720,501.0,505.0,499.0,505.0,7.0,32427,6227658,281100,-35,15
110,2022-06-22,2330,33438921,16630857096,501.0,503.0,494.5,494.5,-10.5,81024,-8515837,312000,-1141,-342
111,2022-06-23,2330,46808462,22836692325,492.0,493.5,485.0,485.5,-9.0,104661,-6892433,425500,-419,280
112,2022-06-24,2330,29003676,14184287155,489.5,492.5,485.5,486.5,1.0,43609,-2297792,159949,-86,-81
113,2022-06-27,2330,38684368,19379396938,496.0,506.0,495.5,498.5,12.0,37438,7084525,231000,-465,96
114,2022-06-28,2330,16867955,8392290378,496.0,500.0,496.0,497.5,-1.0,18988,-904104,453000,-52,-4
115,2022-06-29,2330,33124986,16352376816,496.0,498.5,491.0,491.0,-6.5,40024,-3355107,1283000,213,-4
116,2022-06-30,2330,49820824,23900613642,484.5,486.5,476.0,476.0,-15.0,111117,-11498838,-97000,261,-61
117,2022-07-01,2330,72597018,33459624760,471.5,474.0,452.5,453.5,-22.5,172267,-10263861,283000,-416,-234
118,2022-07-04,2330,61206245,27225872277,443.0,451.5,440.0,440.0,-13.5,96760,-5639055,284000,-139,-2
119,2022-07-05,2330,55469884,24538415224,449.5,451.5,433.0,446.0,6.0,70715,5272513,-59000,-85,-23
120,2022-07-06,2330,42156925,18556660847,442.0,447.5,435.0,435.5,-10.5,59018,1722360,-256000,-97,-160
121,2022-07-07,2330,50984110,22992311966,442.0,459.0,438.5,457.5,22.0,56227,15561863,352000,-1042,-154
122,2022-07-08,2330,39134398,18251251558,470.0,470.5,461.5,467.0,9.5,46039,4084299,243500,-651,-117
123,2022-07-11,2330,22930675,10673806551,468.0,470.5,461.0,462.0,-5.0,25631,4851159,301000,-145,15
124,2022-07-12,2330,24155935,10932798847,458.0,458.0,449.5,449.5,-12.5,34431,926424,-33500,141,38
125,2022-07-13,2330,48134139,22639696871,470.5,473.0,466.0,470.5,21.0,48964,6819549,266500,-436,-187
126,2022-07-14,2330,34014188,16045789881,466.0,477.5,463.0,475.0,4.5,36454,-6541287,616100,1425,183
127,2022-07-15,2330,56039339,27285128552,481.0,494.0,477.0,492.5,17.5,63691,4936961,304532,-363,-149
128,2022-07-18,2330,40797601,20142703483,495.5,498.5,488.5,495.5,3.0,42574,-863214,-120915,159,-330
129,2022-07-19,2330,20554247,10063256350,487.5,493.0,486.5,491.0,-4.5,25035,-1169856,11000,-474,341
130,2022-07-20,2330,36862724,18330197370,502.0,503.0,491.5,495.0,4.0,40233,484175,283655,-210,-32
131,2022-07-21,2330,23893063,11887266420,496.0,501.0,494.0,501.0,6.0,23039,6264192,86000,-35,15
132,2022-07-22,2330,26904474,13525083791,505.0,505.0,500.0,503.0,2.0,26122,6387637,-353701,-772,-188
133,2022-07-25,2330,16803972,8402110298,500.0,503.0,498.0,499.5,-3.5,17230,2425258,375188,-289,83
134,2022-07-26,2330,19524143,9665183112,499.5,499.5,491.0,495.0,-4.5,29293,730884,473500,-276,-37
135,2022-07-27,2330,18411136,9144660659,494.0,502.0,491.0,502.0,7.0,20351,3058317,97900,-159,-12
136,2022-07-28,2330,35020547,17665645632,509.0,509.0,499.0,501.0,-1.0,31274,5337114,862283,-112,-24
137,2022-07-29,2330,30632627,15571856556,508.0,510.0,504.0,509.0,8.0,24762,8459923,568200,-464,113
138,2022-08-01,2330,24991291,12569771761,506.0,508.0,500.0,504.0,-5.0,26792,-7028303,1361119,534,48
139,2022-08-02,2330,42669591,20973293337,494.0,496.0,488.5,492.0,-12.0,63879,-9401654,626000,1014,114
140,2022-08-03,2330,29838832,14823224632,494.0,501.0,493.0,501.0,9.0,25570,4487084,300461,-990,-95
141,2022-08-04,2330,26589086,13279624282,499.0,503.0,495.0,500.0,-1.0,27173,660886,186782,-911,-15
142,2022-08-05,2330,35052642,17966410242,509.0,516.0,507.0,516.0,16.0,49928,17486725,1096000,-485,-215
143,2022-08-08,2330,20568971,10531710250,510.0,515.0,509.0,512.0,-4.0,18131,-3007090,320055,-15,78
144,2022-08-09,2330,24370709,12372442661,507.0,511.0,504.0,510.0,-2.0,25433,-6922040,254925,81,118
145,2022-08-10,2330,22112239,11075581424,500.0,503.0,499.5,500.0,-10.0,35188,-11996253,418500,942,111
146,2022-08-11,2330,24906177,12771121611,513.0,514.0,510.0,514.0,14.0,23949,7683096,236026,-1016,-64
147,2022-08-12,2330,21343450,11016097043,515.0,518.0,514.0,517.0,3.0,21701,5028776,-30943,-199,-69
148,2022-08-15,2330,22519886,11755494600,520.0,524.0,519.0,523.0,6.0,27372,3003310,1843000,-516,-242
149,2022-08-16,2330,21234122,11141160337,526.0,526.0,523.0,525.0,2.0,20628,-523926,1200000,-497,-72
150,2022-08-17,2330,28461939,14943047011,524.0,527.0,521.0,527.0,2.0,26466,-1843200,361700,-292,-48
151,2022-08-18,2330,18721898,9734756997,520.0,521.0,519.0,520.0,-7.0,24209,-7954588,227000,741,282
152,2022-08-19,2330,14235983,7403584002,519.0,523.0,517.0,519.0,-1.0,14069,-4041152,114000,94,26
153,2022-08-22,2330,23175820,11849427903,511.0,514.0,510.0,510.0,-9.0,32130,-9165630,234000,446,133
154,2022-08-23,2330,20997847,10580935860,503.0,506.0,502.0,504.0,-6.0,34243,-8208025,79000,436,114
155,2022-08-24,2330,14995494,7560487746,504.0,508.0,503.0,503.0,-1.0,20031,-5571444,-388000,247,17
156,2022-08-25,2330,10254367,5208471523,505.0,510.0,504.0,508.0,5.0,11664,-354730,-468969,-129,0
157,2022-08-26,2330,13268148,6805419690,513.0,515.0,511.0,512.0,4.0,14862,42178,77000,-467,-4
158,2022-08-29,2330,28217313,14055439771,497.0,502.0,496.0,498.5,-13.5,60889,-11777285,-269000,301,88
159,2022-08-30,2330,25699463,12787938496,497.5,500.0,496.0,496.0,-2.5,43669,-13630035,244310,468,30
160,2022-08-31,2330,50999514,25630339779,492.0,505.0,492.0,505.0,9.0,24054,965103,140000,-151,-81
161,2022-09-01,2330,42008490,20696930527,495.0,495.5,490.0,490.5,-14.5,93631,-18601697,158000,1004,215
162,2022-09-02,2330,33877655,16486942365,488.0,489.5,485.0,485.0,-5.5,71175,-13967769,233000,643,100
163,2022-09-05,2330,17327720,8419762666,485.0,488.0,484.0,486.0,1.0,27611,-475243,223000,-62,13
164,2022-09-06,2330,21197718,10364807027,488.5,491.5,486.5,489.0,3.0,18950,-1736011,349000,-25,-37
165,2022-09-07,2330,38168331,18125281029,477.0,478.0,472.0,472.5,-16.5,101077,-14109854,164000,728,346
166,2022-09-08,2330,35355467,16755699888,473.0,475.0,472.0,475.0,2.5,37943,-7299943,422000,407,226
167,2022-09-12,2330,27181969,13268334545,485.0,491.0,485.0,486.5,11.5,26764,2241220,25000,-609,0
168,2022-09-13,2330,18916557,9329113594,495.0,495.0,491.0,493.0,6.5,20511,5453694,-389000,-893,0
169,2022-09-14,2330,25046110,12023421519,478.5,482.5,476.0,480.0,-13.0,47333,-10512823,582000,963,0
170,2022-09-15,2330,24272164,11587112712,476.0,480.0,476.0,476.5,0.0,35435,-5715434,-40000,268,-59
171,2022-09-16,2330,41889816,19737743551,470.5,472.0,469.0,472.0,-4.5,51619,-4994241,404500,284,-60
172,2022-09-19,2330,20724347,9713676332,472.0,473.0,466.5,467.0,-5.0,45650,-2786480,413000,231,-46
173,2022-09-20,2330,23269759,11027746136,470.5,478.0,470.0,476.5,9.5,20621,1109199,340000,-306,-35
174,2022-09-21,2330,24686050,11641957557,473.5,475.5,468.5,471.0,-5.5,30847,-4312520,167000,135,14
175,2022-09-22,2330,31417685,14524615830,462.0,468.0,459.0,464.5,-6.5,53974,-11192896,86000,494,23
176,2022-09-23,2330,32804066,15005076330,458.5,460.5,455.0,455.0,-9.5,82492,-10977694,108000,755,-72
177,2022-09-26,2330,34856957,15560487370,443.0,454.0,443.0,446.5,-8.5,75861,-5056099,920000,-468,-126
178,2022-09-27,2330,29570005,13260363913,449.0,451.5,446.0,448.0,1.5,29995,-5432163,387000,389,-57
179,2022-09-28,2330,37827459,16693442543,447.0,449.0,438.0,438.0,-10.0,78780,-4669674,239000,-110,-58
180,2022-09-29,2330,42884163,18748910795,443.0,443.5,432.0,435.0,-3.0,70971,-7730037,258000,540,-17
181,2022-09-30,2330,58366820,24750796363,424.5,427.5,422.0,422.0,-13.0,87052,-11719281,-542000,1143,90
182,2022-10-03,2330,38354967,16068149231,418.5,424.5,416.5,417.0,-5.0,70127,-80327,-724000,-434,-74
183,2022-10-04,2330,42455417,18225995343,429.5,432.0,427.0,429.0,12.0,31696,2474906,282000,-60,76
184,2022-10-05,2330,48321335,21583755745,444.5,451.0,442.0,445.0,16.0,51865,8010567,844000,-778,-64
185,2022-10-06,2330,30750331,13821382520,450.5,451.0,447.0,451.0,6.0,24907,6619256,397684,-177,-257
186,2022-10-07,2330,32872044,14505036044,448.5,448.5,437.0,438.0,-13.0,45112,-4395666,543183,1095,218
187,2022-10-11,2330,109842903,44572345642,408.0,412.5,401.0,401.5,-36.5,210614,-44694467,384552,1437,-541
188,2022-10-12,2330,64138351,25536098386,397.0,400.0,395.5,397.5,-4.0,114055,-21401951,43000,495,-11
189,2022-10-13,2330,43158592,17239718998,400.5,403.0,395.0,395.0,-2.5,66846,-1459120,543000,-216,-346
190,2022-10-14,2330,59841064,24714069328,414.5,416.0,409.0,412.0,17.0,54666,7069071,170000,-1372,49
191,2022-10-17,2330,45038159,17954868983,400.0,403.5,396.0,397.0,-15.0,66589,-15681279,171183,1566,-41
192,2022-10-18,2330,41304834,16675510801,406.5,407.0,399.5,407.0,10.0,30538,-1712273,443000,-223,19
193,2022-10-19,2330,48655069,19398261013,404.0,405.0,395.5,395.5,-11.5,68211,-20020929,-1080000,2509,66
194,2022-10-20,2330,63202035,24682371387,391.0,397.5,386.0,397.5,2.0,76430,-8349944,-270136,340,-73
195,2022-10-21,2330,38968511,15297273710,395.5,398.5,389.5,389.5,-8.0,64043,-8784755,158000,-643,-74
196,2022-10-24,2330,48691083,18995017699,395.0,397.5,387.0,387.0,-2.5,58612,-12315171,-123822,832,-8
197,2022-10-25,2330,81173913,30515958539,380.0,382.5,371.0,371.0,-16.0,155200,-17700077,-295000,320,-192
198,2022-10-26,2330,61440878,23045141097,370.5,379.0,370.0,376.0,5.0,46073,5571428,-50400,-582,-239
199,2022-10-27,2330,47160778,18190840150,384.5,389.0,382.5,385.5,9.5,37777,4812830,292000,-603,44
200,2022-10-28,2330,44691746,16923109361,379.5,382.0,375.0,379.5,-6.0,48116,-11960604,740157,446,36
201,2022-10-31,2330,40598928,15721543079,386.0,390.0,381.0,390.0,10.5,32816,8233907,342463,-650,-107
202,2022-11-01,2330,42123141,16428079355,388.5,393.0,386.0,391.5,1.5,29780,-2171778,84532,-290,24
203,2022-11-02,2330,23169428,9091891929,391.0,395.0,388.5,395.0,3.5,22285,1692714,486369,-482,-27
204,2022-11-03,2330,42092776,16201844314,385.0,387.0,383.5,384.0,-11.0,52660,-20591838,70083,1389,-32
205,2022-11-04,2330,30839846,11762941797,381.0,384.5,378.5,382.0,-2.0,26895,-7023947,-15577,614,243
206,2022-11-07,2330,37704746,14710405524,390.0,393.0,387.0,390.0,8.0,30880,6340764,51000,-859,102
207,2022-11-08,2330,32576136,12954941396,395.0,399.5,394.0,399.0,9.0,35956,13879259,282000,-1451,-16
208,2022-11-09,2330,56357663,23188739823,403.5,417.0,403.5,417.0,18.0,67569,14292115,615330,-1547,-5
209,2022-11-10,2330,33671621,13757669359,409.0,411.5,406.0,407.5,-9.5,36471,-6792955,248000,889,172
210,2022-11-11,2330,83770040,36838808146,441.5,442.0,435.0,441.5,34.0,100349,45794052,1847814,-3054,-470
211,2022-11-14,2330,63282094,28257175788,450.0,450.0,441.5,445.0,3.5,48957,14430202,268000,-304,174
212,2022-11-15,2330,118536865,56191637241,465.0,487.0,462.0,480.0,35.0,139136,28762685,890846,-16,-728
213,2022-11-16,2330,88416393,43103738374,491.5,494.0,481.5,487.0,7.0,98338,9669352,287244,-611,-269
214,2022-11-17,2330,46850915,22547582604,482.5,485.0,475.0,485.0,-2.0,57331,-1505681,-88024,300,487
215,2022-11-18,2330,37001332,18131673834,491.5,494.0,486.0,487.0,2.0,41694,2645718,20176,-520,-31
216,2022-11-21,2330,30609465,14843805078,487.5,489.5,480.5,482.0,-5.0,35815,-4802589,14000,335,70
217,2022-11-22,2330,39329440,19112616916,476.0,491.0,476.0,491.0,9.0,40964,1680356,-192000,0,-229
218,2022-11-23,2330,34752559,17111333375,494.5,496.0,488.5,492.0,1.0,32889,-5071602,321300,-19,24
219,2022-11-24,2330,28477359,14073196704,494.0,496.0,492.0,496.0,4.0,34387,10576455,-153000,-819,12
220,2022-11-25,2330,41461805,20594790238,494.0,498.0,494.0,498.0,2.0,34399,-3963763,-138003,-957,-45
221,2022-11-28,2330,40815045,19790586320,486.0,490.0,480.5,480.5,-17.5,57163,-11598949,-548490,1180,266
222,2022-11-29,2330,40266315,19374604221,473.5,488.0,473.0,487.0,6.5,35929,1097863,-32483,-73,89
223,2022-11-30,2330,60728041,29643130386,483.0,490.0,482.5,490.0,3.0,25325,8270838,-63860,-270,-62
224,2022-12-01,2330,43684491,21976936461,506.0,508.0,498.5,498.5,8.5,46181,11921705,291000,-341,42
225,2022-12-02,2330,29909021,14745810388,490.0,497.0,490.0,492.5,-6.0,31799,-5943236,92794,776,140
226,2022-12-05,2330,33048153,16272219716,491.5,497.5,489.0,489.0,-3.5,31739,-5905268,190000,384,120
227,2022-12-06,2330,44964237,21703863181,488.0,489.0,478.0,478.0,-11.0,44448,-7218406,-148481,657,327
228,2022-12-07,2330,39978821,19128832587,477.0,485.5,475.0,475.0,-3.0,43603,-5234341,-84700,142,187
229,2022-12-08,2330,28348573,13366736635,475.0,475.0,467.0,471.5,-3.5,45114,-3133190,-39023,-184,255
230,2022-12-09,2330,28903860,13881674073,478.0,484.5,476.0,481.5,10.0,25790,931251,90000,-231,565
231,2022-12-12,2330,24064002,11435789974,476.5,478.0,473.5,475.0,-6.5,34393,-1263946,-7382,324,0
232,2022-12-13,2330,36028109,17034191389,473.0,476.0,471.0,471.5,-3.5,36559,-8604489,-70809,125,0
