公司名稱,股本,上市日期,成交價,殖利率(%),本益比,股價淨值比
亞洲水泥股份有限公司(1102),344.6057,19620608,43.15,8.02,9.90,1.01
嘉新水泥股份有限公司(1103),77.4781,19691114,20.5,6.83,7.22,0.51
信大水泥股份有限公司(1109),34.1958,19911205,20.05,7.48,7.08,0.92
華夏海灣塑膠股份有限公司(1305),58.105,19730305,34.65,6.64,6.97,1.90
台達化學工業股份有限公司(1309),37.8654,19860627,33.8,8.88,5.84,1.75
琱j股份有限公司(1325),8.5281,20000911,46.8,25.64,4.85,1.36
新光合成纖維股份有限公司(1409),161.8409,19730831,19.65,5.60,8.66,0.93
利華羊毛工業股份有限公司(1423),13.84,19790402,19.85,9.07,4.53,0.91
力山工業股份有限公司(1515),18.1474,19950204,60.3,5.97,9.50,2.81
岱宇國際股份有限公司(1598),13.3982,20160920,58.3,12.81,6.61,1.81
聲寶股份有限公司(1604),38.72,19701214,29.5,8.47,6.37,1.29
正隆股份有限公司(1904),110.8275,19710910,33.7,5.34,8.73,1.40
美亞鋼管廠股份有限公司(2020),22.2526,19930427,31.85,5.34,8.95,1.98
六暉控股股份有限公司(2115),9.9403,20131225,39.7,6.30,9.47,1.39
中華汽車工業股份有限公司(2204),55.362,19910312,64.7,10.82,8.89,0.86
仁寶電腦工業股份有限公司(2324),440.7147,19920218,23.85,6.71,7.41,0.96
聯強國際股份有限公司(2347),166.7947,19951213,61,5.41,6.09,1.72
海悅國際開發股份有限公司(2348),13.6462,19960105,105,7.62,8.41,2.84
宏眭悒鬫陪迨膝q(2353),304.7854,19960918,29.75,5.04,8.38,1.45
華碩電腦股份有限公司(2357),74.276,19961114,365,7.12,6.40,1.25
圓剛科技股份有限公司(2417),15.4314,20000911,24.9,8.03,9.22,1.13
義隆電子股份有限公司(2458),30.388,20010917,160.5,5.61,9.19,4.81
可成科技股份有限公司(2474),76.1618,20010917,152,7.89,6.06,0.77
國揚實業股份有限公司(2505),38.0,19791114,23.8,10.50,8.81,0.99
冠德建設股份有限公司(2520),55.417,19931027,38.65,8.80,4.55,1.27
達欣工程股份有限公司(2535),33.7361,19960311,32,7.84,8.42,1.26
皇翔建設股份有限公司(2545),32.7735,20000911,37,12.16,8.20,1.11
根基營造股份有限公司(2546),10.6036,20000911,49.25,7.31,7.01,1.56
聯邦商業銀行股份有限公司(2838),349.5219,19980629,12.35,5.10,9.50,0.68
統一綜合證券股份有限公司(2855),145.5831,20020916,23.1,8.23,6.64,1.09
潤泰全球股份有限公司(2915),73.4319,19770720,96.5,5.18,3.65,0.54
神基投資控股股份有限公司(3005),59.5461,20020225,53.4,6.72,7.36,1.86
增你強股份有限公司(3028),21.3825,20020826,31.15,6.10,8.03,1.30
益登科技股份有限公司(3048),24.483,20021001,31.45,9.22,7.33,1.93
總太地產開發股份有限公司(3056),21.0791,20030303,41.45,10.62,5.85,1.75
全科科技股份有限公司(3209),20.0532,20081126,28.9,6.92,8.10,1.65
嘉威生活股份有限公司(3557),8.03,20080227,78.7,7.62,9.91,2.70
圓展科技股份有限公司(3669),9.292,20110825,52.5,9.52,5.97,1.70
新至陞科技股份有限公司(3679),6.2671,20111005,85.7,11.67,8.47,1.29
大聯大投資控股股份有限公司(3702),187.9057,20051109,50.8,6.10,8.77,1.40
燦星網通股份有限公司(4930),13.43,20100621,25.75,13.59,7.55,0.96
茂林光電科技(開曼)股份有限公司(4935),13.0937,20110728,82.2,6.69,7.73,1.45
嘉彰股份有限公司(4942),14.2368,20110627,45.8,5.46,7.08,0.85
科嘉(開曼)股份有限公司(5215),6.4338,20111226,89.1,8.98,8.03,1.78
建國工程股份有限公司(5515),25.744,20031006,13.95,5.73,7.71,0.77
隆大營建事業股份有限公司(5519),21.9197,20140210,21.3,8.45,9.47,1.09
群益金鼎證券股份有限公司(6005),217.0908,20051121,16.35,6.73,6.78,0.94
瑞儀光電股份有限公司(6176),46.5027,20070515,97.1,8.24,8.24,1.53
力成科技股份有限公司(6239),77.9147,20041108,96.8,5.17,9.24,1.55
至上電子股份有限公司(8112),42.8496,20071231,44.9,6.68,7.08,1.82
志超科技股份有限公司(8213),27.1242,20091225,46.95,7.45,7.76,0.97
潤泰創新國際股份有限公司(9945),210.6833,19920430,63,7.94,8.89,1.25
